ad_id,number_of_bathrooms,number_of_bedrooms,number_of_beds,listing_type,number_rented,revenue,latitude,longitude,is_superhost,number_of_reviews,2023_price,2023_predict_price,2024_price,2024_predict_price,2025_price,2025_predict_price,2026_price,2026_predict_price
750567808069508291,2.00,3.00,5.00,Espaço inteiro: apartamento,24,29614.00,-27.14,-48.59,False,0,1233.92,1216.92,1280.93,1271.12,1332.04,1310.16,1385.32,1365.61
769409523995182484,1.00,1.00,1.00,Quarto inteiro em apartamento,304,29575.00,-27.13,-48.61,False,0,97.29,96.75,100.99,100.36,105.02,104.19,109.22,108.19
721008991734845867,3.00,3.00,3.00,Espaço inteiro: apartamento,41,29550.00,-27.14,-48.59,False,0,720.73,750.16,748.19,785.09,778.04,820.08,809.17,844.69
726366059837814361,3.00,4.00,6.00,Espaço inteiro: apartamento,30,29520.00,-27.14,-48.59,False,0,984.00,998.74,1021.49,1044.09,1062.25,1083.81,1104.74,1123.45
46624568,2.00,3.00,6.00,Espaço inteiro: apartamento,59,29500.00,-27.13,-48.61,True,0,500.00,499.86,519.05,517.30,539.76,538.30,561.35,558.72
644092775464345965,3.00,4.00,6.00,Espaço inteiro: apartamento,30,29500.00,-27.14,-48.59,False,0,983.33,993.56,1020.80,1038.60,1061.53,1076.96,1103.99,1121.17
614251726762980674,1.00,2.00,5.00,Espaço inteiro: apartamento,79,29495.00,-27.14,-48.60,False,3,373.35,392.31,387.58,407.34,403.04,424.61,419.17,442.10
42807186,3.00,3.00,4.00,Espaço inteiro: casa,77,29490.00,-27.14,-48.60,True,22,382.99,431.25,397.58,442.05,413.44,461.80,429.98,470.16
573122310094338767,2.00,3.00,3.00,Espaço inteiro: apartamento,58,29050.00,-27.13,-48.60,False,1,500.86,500.60,519.94,518.58,540.69,539.80,562.32,560.57
705798511778920842,2.00,3.00,4.00,Espaço inteiro: condomínio,100,29000.00,-27.13,-48.60,False,0,290.00,299.18,301.05,311.66,313.06,324.60,325.58,340.25
